name*,version*,license*,vendor/community,end-of-support,dependencies,language
buffer-writer,2.0.0,MIT,https://github.com/brianc/node-buffer-writer,,,
bytes,3.1.1,MIT,https://github.com/visionmedia/bytes.js,,,
call-bind,1.0.2,MIT,https://github.com/ljharb/call-bind,,,
call-me-maybe,1.0.1,MIT,https://github.com/limulus/call-me-maybe,,,
camelcase,5.3.1,MIT,https://github.com/sindresorhus/camelcase,,,
caseless,0.12.0,Apache-2.0,https://github.com/mikeal/caseless,,,
chalk,1.1.3,MIT,https://github.com/chalk/chalk,,,
chalk,2.4.2,MIT,https://github.com/chalk/chalk,,,
chokidar,3.3.0,MIT,https://github.com/paulmillr/chokidar,,,
circular-json,0.5.9,MIT,https://github.com/WebReflection/circular-json,,,
cliui,5.0.0,ISC,https://github.com/yargs/cliui,,,
cluster-key-slot,1.1.0,APACHE-2.0,https://github.com/Salakar/cluster-key-slot,,,
color-convert,1.9.3,MIT,https://github.com/Qix-/color-convert,,,
color-name,1.1.3,MIT,https://github.com/dfcreative/color-name,,,
combined-stream,1.0.8,MIT,https://github.com/felixge/node-combined-stream,,,
commander,2.20.3,MIT,https://github.com/tj/commander.js,,,
concat-map,0.0.1,MIT,https://github.com/substack/node-concat-map,,,
content-disposition,0.5.4,MIT,https://github.com/jshttp/content-disposition,,,
content-type,1.0.4,MIT,https://github.com/jshttp/content-type,,,
cookie-signature,1.0.6,MIT,https://github.com/visionmedia/node-cookie-signature,,,
cookie,0.4.1,MIT,https://github.com/jshttp/cookie,,,
core-util-is,1.0.2,MIT,https://github.com/isaacs/core-util-is,,,
crypto,1.0.1,ISC,https://github.com/npm/deprecate-holder,,,
dashdash,1.14.1,MIT,https://github.com/trentm/node-dashdash,,,
date-format,2.1.0,MIT,https://github.com/nomiddlename/date-format,,,
date-format,3.0.0,MIT,https://github.com/nomiddlename/date-format,,,
debug,2.6.9,MIT,https://github.com/visionmedia/debug,,,
debug,3.2.6,MIT,https://github.com/visionmedia/debug,,,
debug,4.3.3,MIT,https://github.com/debug-js/debug,,,
decamelize,1.2.0,MIT,https://github.com/sindresorhus/decamelize,,,
define-properties,1.1.3,MIT,https://github.com/ljharb/define-properties,,,
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream,,,
denque,1.5.1,Apache-2.0,https://github.com/invertase/denque,,,
depd,1.1.2,MIT,https://github.com/dougwilson/nodejs-depd,,,
destroy,1.0.4,MIT,https://github.com/stream-utils/destroy,,,
diff,3.5.0,BSD-3-Clause,https://github.com/kpdecker/jsdiff,,,
ecc-jsbn,0.1.2,MIT,https://github.com/quartzjer/ecc-jsbn,,,
ecdsa-sig-formatter,1.0.11,Apache-2.0,https://github.com/Brightspace/node-ecdsa-sig-formatter,,,
ee-first,1.1.1,MIT,https://github.com/jonathanong/ee-first,,,
elasticsearch,15.5.0,Apache-2.0,https://github.com/elastic/elasticsearch-js,,,
emoji-regex,7.0.3,MIT,https://github.com/mathiasbynens/emoji-regex,,,
encodeurl,1.0.2,MIT,https://github.com/pillarjs/encodeurl,,,
entities,2.1.0,BSD-2-Clause,https://github.com/fb55/entities,,,
es-abstract,1.19.1,MIT,https://github.com/ljharb/es-abstract,,,
es-to-primitive,1.2.1,MIT,https://github.com/ljharb/es-to-primitive,,,
escape-html,1.0.3,MIT,https://github.com/component/escape-html,,,
escape-string-regexp,1.0.5,MIT,https://github.com/sindresorhus/escape-string-regexp,,,
esprima,4.0.1,BSD-2-Clause,https://github.com/jquery/esprima,,,
etag,1.8.1,MIT,https://github.com/jshttp/etag,,,
express-healthcheck,0.1.0,ISC,https://github.com/lennym/express-healthcheck,,,
express-jwt,5.3.3,MIT,https://github.com/auth0/express-jwt,,,
express-unless,0.3.1,MIT,https://github.com/jfromaniello/express-unless,,,
express,4.17.2,MIT,https://github.com/expressjs/express,,,
extend,3.0.2,MIT,https://github.com/justmoon/node-extend,,,
extsprintf,1.3.0,MIT,https://github.com/davepacheco/node-extsprintf,,,
fast-deep-equal,3.1.3,MIT,https://github.com/epoberezkin/fast-deep-equal,,,
fast-json-stable-stringify,2.1.0,MIT,https://github.com/epoberezkin/fast-json-stable-stringify,,,
fill-range,7.0.1,MIT,https://github.com/jonschlinkert/fill-range,,,
finalhandler,1.1.2,MIT,https://github.com/pillarjs/finalhandler,,,
find-up,3.0.0,MIT,https://github.com/sindresorhus/find-up,,,
flat,4.1.1,BSD-3-Clause,https://github.com/hughsk/flat,,,
flatted,2.0.2,ISC,https://github.com/WebReflection/flatted,,,
forever-agent,0.6.1,Apache-2.0,https://github.com/mikeal/forever-agent,,,
form-data,2.3.3,MIT,https://github.com/form-data/form-data,,,
forwarded,0.2.0,MIT,https://github.com/jshttp/forwarded,,,
fresh,0.5.2,MIT,https://github.com/jshttp/fresh,,,
fs-extra,8.1.0,MIT,https://github.com/jprichardson/node-fs-extra,,,
fs.realpath,1.0.0,ISC,https://github.com/isaacs/fs.realpath,,,
function-bind,1.1.1,MIT,https://github.com/Raynos/function-bind,,,
get-caller-file,2.0.5,ISC,https://github.com/stefanpenner/get-caller-file,,,
get-intrinsic,1.1.1,MIT,https://github.com/ljharb/get-intrinsic,,,
get-symbol-description,1.0.0,MIT,https://github.com/inspect-js/get-symbol-description,,,
getpass,0.1.7,MIT,https://github.com/arekinath/node-getpass,,,
glob-parent,5.1.2,ISC,https://github.com/gulpjs/glob-parent,,,
glob,7.1.3,ISC,https://github.com/isaacs/node-glob,,,
graceful-fs,4.2.8,ISC,https://github.com/isaacs/node-graceful-fs,,,
growl,1.10.5,MIT,https://github.com/tj/node-growl,,,
har-schema,2.0.0,ISC,https://github.com/ahmadnassri/har-schema,,,
har-validator,5.1.5,MIT,https://github.com/ahmadnassri/node-har-validator,,,
has-ansi,2.0.0,MIT,https://github.com/sindresorhus/has-ansi,,,
has-bigints,1.0.1,MIT,https://github.com/ljharb/has-bigints,,,
has-flag,3.0.0,MIT,https://github.com/sindresorhus/has-flag,,,
has-symbols,1.0.2,MIT,https://github.com/inspect-js/has-symbols,,,
has-tostringtag,1.0.0,MIT,https://github.com/inspect-js/has-tostringtag,,,
has,1.0.3,MIT,https://github.com/tarruda/has,,,
he,1.2.0,MIT,https://github.com/mathiasbynens/he,,,
http-errors,1.8.1,MIT,https://github.com/jshttp/http-errors,,,
http-signature,1.2.0,MIT,https://github.com/joyent/node-http-signature,,,
humanize-ms,1.2.1,MIT,https://github.com/node-modules/humanize-ms,,,
iconv-lite,0.4.24,MIT,https://github.com/ashtuchkin/iconv-lite,,,
inflight,1.0.6,ISC,https://github.com/npm/inflight,,,
inherits,2.0.3,ISC,https://github.com/isaacs/inherits,,,
inherits,2.0.4,ISC,https://github.com/isaacs/inherits,,,
internal-slot,1.0.3,MIT,https://github.com/ljharb/internal-slot,,,
ioredis,4.28.2,MIT,https://github.com/luin/ioredis,,,
ipaddr.js,1.9.1,MIT,https://github.com/whitequark/ipaddr.js,,,
is-bigint,1.0.4,MIT,https://github.com/inspect-js/is-bigint,,,
is-binary-path,2.1.0,MIT,https://github.com/sindresorhus/is-binary-path,,,
is-boolean-object,1.1.2,MIT,https://github.com/inspect-js/is-boolean-object,,,
is-buffer,2.0.5,MIT,https://github.com/feross/is-buffer,,,
is-callable,1.2.4,MIT,https://github.com/inspect-js/is-callable,,,
is-date-object,1.0.5,MIT,https://github.com/inspect-js/is-date-object,,,
is-extglob,2.1.1,MIT,https://github.com/jonschlinkert/is-extglob,,,
is-fullwidth-code-point,2.0.0,MIT,https://github.com/sindresorhus/is-fullwidth-code-point,,,
is-glob,4.0.3,MIT,https://github.com/micromatch/is-glob,,,
is-negative-zero,2.0.2,MIT,https://github.com/inspect-js/is-negative-zero,,,
is-number-object,1.0.6,MIT,https://github.com/inspect-js/is-number-object,,,
is-number,7.0.0,MIT,https://github.com/jonschlinkert/is-number,,,
is-regex,1.1.4,MIT,https://github.com/inspect-js/is-regex,,,
is-shared-array-buffer,1.0.1,MIT,https://github.com/inspect-js/is-shared-array-buffer,,,
is-string,1.0.7,MIT,https://github.com/ljharb/is-string,,,
is-symbol,1.0.4,MIT,https://github.com/inspect-js/is-symbol,,,
is-typedarray,1.0.0,MIT,https://github.com/hughsk/is-typedarray,,,
is-weakref,1.0.2,MIT,https://github.com/inspect-js/is-weakref,,,
is_js,0.9.0,MIT,https://github.com/arasatasaygin/is.js,,,
isexe,2.0.0,ISC,https://github.com/isaacs/isexe,,,
isstream,0.1.2,MIT,https://github.com/rvagg/isstream,,,
js-yaml,3.13.1,MIT,https://github.com/nodeca/js-yaml,,,
js-yaml,4.1.0,MIT,https://github.com/nodeca/js-yaml,,,
jsbn,0.1.1,MIT,https://github.com/andyperlitch/jsbn,,,
json-schema-traverse,0.4.1,MIT,https://github.com/epoberezkin/json-schema-traverse,,,
json-schema,0.4.0,(AFL-2.1 OR BSD-3-Clause),https://github.com/kriszyp/json-schema,,,
json-stringify-safe,5.0.1,ISC,https://github.com/isaacs/json-stringify-safe,,,
jsonfile,4.0.0,MIT,https://github.com/jprichardson/node-jsonfile,,,
jsonwebtoken,8.5.1,MIT,https://github.com/auth0/node-jsonwebtoken,,,
jsprim,1.4.2,MIT,https://github.com/joyent/node-jsprim,,,
jwa,1.4.1,MIT,https://github.com/brianloveswords/node-jwa,,,
jws,3.2.2,MIT,https://github.com/brianloveswords/node-jws,,,
linkify-it,3.0.3,MIT,https://github.com/markdown-it/linkify-it,,,
locate-path,3.0.0,MIT,https://github.com/sindresorhus/locate-path,,,
lodash.defaults,4.2.0,MIT,https://github.com/lodash/lodash,,,
lodash.flatten,4.4.0,MIT,https://github.com/lodash/lodash,,,
lodash.get,4.4.2,MIT,https://github.com/lodash/lodash,,,
lodash.includes,4.3.0,MIT,https://github.com/lodash/lodash,,,
lodash.isarguments,3.1.0,MIT,https://github.com/lodash/lodash,,,
lodash.isboolean,3.0.3,MIT,https://github.com/lodash/lodash,,,
lodash.isequal,4.5.0,MIT,https://github.com/lodash/lodash,,,
lodash.isinteger,4.0.4,MIT,https://github.com/lodash/lodash,,,
lodash.isnumber,3.0.3,MIT,https://github.com/lodash/lodash,,,
lodash.isplainobject,4.0.6,MIT,https://github.com/lodash/lodash,,,
lodash.isstring,4.0.1,MIT,https://github.com/lodash/lodash,,,
lodash.once,4.1.1,MIT,https://github.com/lodash/lodash,,,
lodash.set,4.3.2,MIT,https://github.com/lodash/lodash,,,
lodash,4.17.21,MIT,https://github.com/lodash/lodash,,,
log-symbols,3.0.0,MIT,https://github.com/sindresorhus/log-symbols,,,
log4js,6.3.0,Apache-2.0,https://github.com/log4js-node/log4js-node,,,
markdown-it,12.2.0,MIT,https://github.com/markdown-it/markdown-it,,,
markdownlint-rule-helpers,0.15.0,MIT,https://github.com/DavidAnson/markdownlint,,,
markdownlint,0.24.0,MIT,https://github.com/DavidAnson/markdownlint,,,
mdurl,1.0.1,MIT,https://github.com/markdown-it/mdurl,,,
media-typer,0.3.0,MIT,https://github.com/jshttp/media-typer,,,
merge-descriptors,1.0.1,MIT,https://github.com/component/merge-descriptors,,,
methods,1.1.2,MIT,https://github.com/jshttp/methods,,,
mime-db,1.51.0,MIT,https://github.com/jshttp/mime-db,,,
mime-types,2.1.34,MIT,https://github.com/jshttp/mime-types,,,
mime,1.6.0,MIT,https://github.com/broofa/node-mime,,,
minimatch,3.0.4,ISC,https://github.com/isaacs/minimatch,,,
minimist,1.2.5,MIT,https://github.com/substack/minimist,,,
mkdirp,0.5.5,MIT,https://github.com/substack/node-mkdirp,,,
mocha,7.2.0,MIT,https://github.com/mochajs/mocha,,,
ms,2.0.0,MIT,https://github.com/zeit/ms,,,
ms,2.1.1,MIT,https://github.com/zeit/ms,,,
ms,2.1.2,MIT,https://github.com/zeit/ms,,,
ms,2.1.3,MIT,https://github.com/vercel/ms,,,
negotiator,0.6.2,MIT,https://github.com/jshttp/negotiator,,,
node-environment-flags,1.0.6,Apache-2.0,https://github.com/boneskull/node-environment-flags,,,
normalize-path,3.0.0,MIT,https://github.com/jonschlinkert/normalize-path,,,
oauth-sign,0.9.0,Apache-2.0,https://github.com/mikeal/oauth-sign,,,
object-inspect,1.12.0,MIT,https://github.com/inspect-js/object-inspect,,,
object-keys,1.1.1,MIT,https://github.com/ljharb/object-keys,,,
object.assign,4.1.0,MIT,https://github.com/ljharb/object.assign,,,
object.assign,4.1.2,MIT,https://github.com/ljharb/object.assign,,,
object.getownpropertydescriptors,2.1.3,MIT,https://github.com/es-shims/object.getownpropertydescriptors,,,
on-finished,2.3.0,MIT,https://github.com/jshttp/on-finished,,,
once,1.4.0,ISC,https://github.com/isaacs/once,,,
os,0.1.2,MIT,https://github.com/DiegoRBaquero/node-os,,,
p-limit,2.3.0,MIT,https://github.com/sindresorhus/p-limit,,,
p-locate,3.0.0,MIT,https://github.com/sindresorhus/p-locate,,,
p-map,2.1.0,MIT,https://github.com/sindresorhus/p-map,,,
p-try,2.2.0,MIT,https://github.com/sindresorhus/p-try,,,
packet-reader,1.0.0,MIT,https://github.com/brianc/node-packet-reader,,,
parseurl,1.3.3,MIT,https://github.com/pillarjs/parseurl,,,
path-exists,3.0.0,MIT,https://github.com/sindresorhus/path-exists,,,
path-is-absolute,1.0.1,MIT,https://github.com/sindresorhus/path-is-absolute,,,
path-to-regexp,0.1.7,MIT,https://github.com/component/path-to-regexp,,,
performance-now,2.1.0,MIT,https://github.com/braveg1rl/performance-now,,,
pg-connection-string,0.1.3,MIT,https://github.com/iceddev/pg-connection-string,,,
pg-int8,1.0.1,ISC,https://github.com/charmander/pg-int8,,,
pg-packet-stream,1.1.0,MIT,,,,
pg-pool,2.0.10,MIT,https://github.com/brianc/node-pg-pool,,,
pg-types,2.2.0,MIT,https://github.com/brianc/node-pg-types,,,
pg,7.18.2,MIT,https://github.com/brianc/node-postgres,,,
pgpass,1.0.5,MIT,https://github.com/hoegaarden/pgpass,,,
picomatch,2.3.0,MIT,https://github.com/micromatch/picomatch,,,
postgres-array,2.0.0,MIT,https://github.com/bendrucker/postgres-array,,,
postgres-bytea,1.0.0,MIT,https://github.com/bendrucker/postgres-bytea,,,
postgres-date,1.0.7,MIT,https://github.com/bendrucker/postgres-date,,,
postgres-interval,1.2.0,MIT,https://github.com/bendrucker/postgres-interval,,,
proxy-addr,2.0.7,MIT,https://github.com/jshttp/proxy-addr,,,
psl,1.8.0,MIT,https://github.com/lupomontero/psl,,,
punycode,2.1.1,MIT,https://github.com/bestiejs/punycode.js,,,
qs,6.5.2,BSD-3-Clause,https://github.com/ljharb/qs,,,
qs,6.9.6,BSD-3-Clause,https://github.com/ljharb/qs,,,
range-parser,1.2.1,MIT,https://github.com/jshttp/range-parser,,,
raw-body,2.4.2,MIT,https://github.com/stream-utils/raw-body,,,
readdirp,3.2.0,MIT,https://github.com/paulmillr/readdirp,,,
redis-commands,1.7.0,MIT,https://github.com/NodeRedis/redis-commands,,,
redis-errors,1.2.0,MIT,https://github.com/NodeRedis/redis-errors,,,
redis-parser,3.0.0,MIT,https://github.com/NodeRedis/node-redis-parser,,,
request-ip,2.1.3,MIT,https://github.com/pbojinov/request-ip,,,
request-promise-core,1.1.4,ISC,https://github.com/request/promise-core,,,
request-promise,4.2.6,ISC,https://github.com/request/request-promise,,,
request,2.88.2,Apache-2.0,https://github.com/request/request,,,
require-directory,2.1.1,MIT,https://github.com/troygoode/node-require-directory,,,
require-main-filename,2.0.0,ISC,https://github.com/yargs/require-main-filename,,,
rfdc,1.3.0,MIT,https://github.com/davidmarkclements/rfdc,,,
safe-buffer,5.1.2,MIT,https://github.com/feross/safe-buffer,,,
safe-buffer,5.2.1,MIT,https://github.com/feross/safe-buffer,,,
safer-buffer,2.1.2,MIT,https://github.com/ChALkeR/safer-buffer,,,
semver,4.3.2,BSD,https://github.com/npm/node-semver,,,
semver,5.7.1,ISC,https://github.com/npm/node-semver,,,
send,0.17.2,MIT,https://github.com/pillarjs/send,,,
serve-static,1.14.2,MIT,https://github.com/expressjs/serve-static,,,
set-blocking,2.0.0,ISC,https://github.com/yargs/set-blocking,,,
setprototypeof,1.2.0,ISC,https://github.com/wesleytodd/setprototypeof,,,
side-channel,1.0.4,MIT,https://github.com/ljharb/side-channel,,,
split2,4.1.0,ISC,https://github.com/mcollina/split2,,,
sprintf-js,1.0.3,BSD-3-Clause,https://github.com/alexei/sprintf.js,,,
sshpk,1.16.1,MIT,https://github.com/joyent/node-sshpk,,,
standard-as-callback,2.1.0,MIT,https://github.com/luin/asCallback,,,
statuses,1.5.0,MIT,https://github.com/jshttp/statuses,,,
stealthy-require,1.1.1,ISC,https://github.com/analog-nico/stealthy-require,,,
streamroller,2.2.4,MIT,https://github.com/nomiddlename/streamroller,,,
string-width,2.1.1,MIT,https://github.com/sindresorhus/string-width,,,
string-width,3.1.0,MIT,https://github.com/sindresorhus/string-width,,,
string.prototype.trimend,1.0.4,MIT,https://github.com/es-shims/String.prototype.trimEnd,,,
string.prototype.trimstart,1.0.4,MIT,https://github.com/es-shims/String.prototype.trimStart,,,
strip-ansi,3.0.1,MIT,https://github.com/chalk/strip-ansi,,,
strip-ansi,4.0.0,MIT,https://github.com/chalk/strip-ansi,,,
strip-ansi,5.2.0,MIT,https://github.com/chalk/strip-ansi,,,
strip-json-comments,2.0.1,MIT,https://github.com/sindresorhus/strip-json-comments,,,
supports-color,2.0.0,MIT,https://github.com/chalk/supports-color,,,
supports-color,5.5.0,MIT,https://github.com/chalk/supports-color,,,
supports-color,6.0.0,MIT,https://github.com/chalk/supports-color,,,
swagger-markdown,1.4.6,MIT,https://github.com/syroegkin/swagger-markdown,,,
swagger-parser,10.0.3,MIT,https://github.com/APIDevTools/swagger-parser,,,
to-regex-range,5.0.1,MIT,https://github.com/micromatch/to-regex-range,,,
toidentifier,1.0.1,MIT,https://github.com/component/toidentifier,,,
tough-cookie,2.5.0,BSD-3-Clause,https://github.com/salesforce/tough-cookie,,,
tunnel-agent,0.6.0,Apache-2.0,https://github.com/mikeal/tunnel-agent,,,
tweetnacl,0.14.5,Unlicense,https://github.com/dchest/tweetnacl-js,,,
type-is,1.6.18,MIT,https://github.com/jshttp/type-is,,,
uc.micro,1.0.6,MIT,https://github.com/markdown-it/uc.micro,,,
unbox-primitive,1.0.1,MIT,https://github.com/ljharb/unbox-primitive,,,
universalify,0.1.2,MIT,https://github.com/RyanZim/universalify,,,
unpipe,1.0.0,MIT,https://github.com/stream-utils/unpipe,,,
uri-js,4.4.1,BSD-2-Clause,https://github.com/garycourt/uri-js,,,
util,0.10.4,MIT,https://github.com/defunctzombie/node-util,,,
utils-merge,1.0.1,MIT,https://github.com/jaredhanson/utils-merge,,,
uuid,3.4.0,MIT,https://github.com/uuidjs/uuid,,,
validator,13.7.0,MIT,https://github.com/validatorjs/validator.js,,,
vary,1.1.2,MIT,https://github.com/jshttp/vary,,,
verror,1.10.0,MIT,https://github.com/davepacheco/node-verror,,,
which-boxed-primitive,1.0.2,MIT,https://github.com/inspect-js/which-boxed-primitive,,,
which-module,2.0.0,ISC,https://github.com/nexdrew/which-module,,,
which,1.3.1,ISC,https://github.com/isaacs/node-which,,,
wide-align,1.1.3,ISC,https://github.com/iarna/wide-align,,,
wrap-ansi,5.1.0,MIT,https://github.com/chalk/wrap-ansi,,,
wrappy,1.0.2,ISC,https://github.com/npm/wrappy,,,
xtend,4.0.2,MIT,https://github.com/Raynos/xtend,,,
y18n,4.0.3,ISC,https://github.com/yargs/y18n,,,
yargs-parser,13.1.2,ISC,https://github.com/yargs/yargs-parser,,,
yargs-unparser,1.6.0,MIT,https://github.com/yargs/yargs-unparser,,,
yargs,13.3.2,MIT,https://github.com/yargs/yargs,,,
z-schema,5.0.2,MIT,https://github.com/zaggino/z-schema,,,
